"","Count","Words"
"and it was",2467,"and it was"
"what do you",2458,"what do you"
"a chance to",2443,"a chance to"
"if you don't",2436,"if you don't"
"go to the",2409,"go to the"
"to be in",2390,"to be in"
"in the morning",2363,"in the morning"
"need to be",2356,"need to be"
"would be a",2355,"would be a"
"when it comes",2355,"when it comes"
"the middle of",2345,"the middle of"
"i wish i",2339,"i wish i"
"will be a",2336,"will be a"
"the number of",2333,"the number of"
"side of the",2329,"side of the"
"i don't have",2289,"i don't have"
"that i have",2285,"that i have"
"a long time",2285,"a long time"
"in the same",2281,"in the same"
"to make the",2276,"to make the"
"is not a",2276,"is not a"
"it is the",2273,"it is the"
"would have been",2266,"would have been"
"to take a",2266,"to take a"
"i don't want",2249,"i don't want"
"to do it",2232,"to do it"
"on the other",2231,"on the other"
"of the best",2200,"of the best"
"in new york",2185,"in new york"
"it comes to",2183,"it comes to"
"of the world",2179,"of the world"
"it is not",2175,"it is not"
"do you think",2167,"do you think"
"up in the",2163,"up in the"
"as part of",2150,"as part of"
"a number of",2145,"a number of"
"i love the",2140,"i love the"
"we have to",2138,"we have to"
"would love to",2137,"would love to"
"there will be",2132,"there will be"
"was one of",2121,"was one of"
"i was a",2119,"i was a"
"and i was",2108,"and i was"
"in the last",2099,"in the last"
"but it was",2097,"but it was"
"the university of",2095,"the university of"
"and i am",2082,"and i am"
"has been a",2075,"has been a"
"i know i",2067,"i know i"
"i hope you",2064,"i hope you"
"i have no",2060,"i have no"
"i am a",2054,"i am a"
"that it was",2053,"that it was"
"for me to",2050,"for me to"
"to make sure",2046,"to make sure"
"is in the",2035,"is in the"
"in my life",2034,"in my life"
"the top of",2014,"the top of"
"as soon as",2010,"as soon as"
"that would be",2003,"that would be"
"a part of",2003,"a part of"
"for a while",1986,"for a while"
"i am so",1984,"i am so"
"i can't wait",1983,"i can't wait"
"so i can",1976,"so i can"
"look at the",1970,"look at the"
"look forward to",1960,"look forward to"
"i would have",1945,"i would have"
"do you have",1934,"do you have"
"that it is",1932,"that it is"
"up to the",1922,"up to the"
"i decided to",1918,"i decided to"
"at a time",1913,"at a time"
"that i am",1900,"that i am"
"said in a",1900,"said in a"
"a way to",1885,"a way to"
"to be able",1876,"to be able"
"i think it",1868,"i think it"
"i was in",1862,"i was in"
"in addition to",1860,"in addition to"
"a bunch of",1859,"a bunch of"
"don't have to",1856,"don't have to"
"it has been",1846,"it has been"
"but it is",1842,"but it is"
"many of the",1840,"many of the"
"of the season",1826,"of the season"
"seems to be",1820,"seems to be"
"for the rt",1819,"for the rt"
"looking for a",1814,"looking for a"
"for the next",1810,"for the next"
"i'm not sure",1808,"i'm not sure"
"will have to",1803,"will have to"
"you so much",1801,"you so much"
"is the best",1797,"is the best"
"this is not",1791,"this is not"
"was able to",1784,"was able to"
"in love with",1783,"in love with"
"top of the",1779,"top of the"
"to say that",1778,"to say that"
"he was a",1775,"he was a"
"that i was",1768,"that i was"
"and it is",1765,"and it is"
"for a few",1759,"for a few"
"it's going to",1755,"it's going to"
"i think the",1755,"i think the"
"in the end",1752,"in the end"
"back in the",1750,"back in the"
"wait to see",1744,"wait to see"
"there was no",1743,"there was no"
"to get to",1740,"to get to"
"and in the",1737,"and in the"
"part of a",1725,"part of a"
"have to do",1721,"have to do"
"how do you",1720,"how do you"
"the back of",1720,"the back of"
"i think it's",1713,"i think it's"
"i went to",1712,"i went to"
"members of the",1705,"members of the"
"at this point",1694,"at this point"
"you can see",1691,"you can see"
"had a great",1688,"had a great"
"was in the",1685,"was in the"
"the idea of",1679,"the idea of"
"we had a",1678,"we had a"
"a series of",1678,"a series of"
"the new york",1677,"the new york"
"in the second",1674,"in the second"
"i know that",1670,"i know that"
"will be the",1666,"will be the"
"but i think",1661,"but i think"
"percent of the",1660,"percent of the"
"of my life",1659,"of my life"
"you don't have",1652,"you don't have"
"on top of",1647,"on top of"
"going to have",1647,"going to have"
"trying to get",1647,"trying to get"
"a great day",1646,"a great day"
"we want to",1646,"we want to"
"what to do",1642,"what to do"
"i used to",1639,"i used to"
"that he was",1636,"that he was"
"all over the",1624,"all over the"
"is a great",1618,"is a great"
"so much for",1606,"so much for"
"and i think",1604,"and i think"
"it in the",1603,"it in the"
"of the new",1602,"of the new"
"as a result",1600,"as a result"
"in terms of",1598,"in terms of"
"supposed to be",1596,"supposed to be"
"a few days",1593,"a few days"
"needs to be",1592,"needs to be"
"be sure to",1587,"be sure to"
"be in the",1584,"be in the"
"i love it",1576,"i love it"
"a little more",1576,"a little more"
"you for the",1575,"you for the"
"away from the",1568,"away from the"
"i do not",1567,"i do not"
"to find a",1565,"to find a"
"all the way",1560,"all the way"
"member of the",1559,"member of the"
"it to the",1559,"it to the"
"one of them",1558,"one of them"
"is a good",1551,"is a good"
"know how to",1543,"know how to"
"but i don't",1542,"but i don't"
"thanks for following",1536,"thanks for following"
"when he was",1535,"when he was"
"a group of",1534,"a group of"
"of the first",1533,"of the first"
"go back to",1532,"go back to"
"how are you",1532,"how are you"
"of my favorite",1526,"of my favorite"
"need to get",1525,"need to get"
"what are you",1524,"what are you"
"on the way",1521,"on the way"
"going to get",1516,"going to get"
"in the u.s",1515,"in the u.s"
"is expected to",1514,"is expected to"
"we're going to",1512,"we're going to"
"to try to",1510,"to try to"
"don't know what",1508,"don't know what"
"you know what",1505,"you know what"
"by the time",1504,"by the time"
"and of course",1499,"and of course"
"the kind of",1494,"the kind of"
"to see what",1492,"to see what"
"want to see",1487,"want to see"
"to figure out",1486,"to figure out"
"he said he",1485,"he said he"
"as far as",1475,"as far as"
"wish i could",1474,"wish i could"
"in the city",1471,"in the city"
"director of the",1471,"director of the"
"i like to",1467,"i like to"
"of the time",1467,"of the time"
"over the past",1467,"over the past"
"the only one",1463,"the only one"
"check it out",1462,"check it out"
"i think that",1457,"i think that"
"i need a",1457,"i need a"
"we will be",1456,"we will be"
"want to do",1456,"want to do"
"to deal with",1454,"to deal with"
"in the united",1453,"in the united"
"the bottom of",1453,"the bottom of"
"the opportunity to",1452,"the opportunity to"
"to see if",1450,"to see if"
"said he was",1448,"said he was"
"has to be",1447,"has to be"
"have a good",1445,"have a good"
"went to the",1445,"went to the"
"of all the",1444,"of all the"
"i would like",1443,"i would like"
"according to a",1443,"according to a"
"the beginning of",1441,"the beginning of"
"i am going",1437,"i am going"
"to talk about",1434,"to talk about"
"the name of",1431,"the name of"
"to talk to",1428,"to talk to"
"to look at",1428,"to look at"
"can't wait for",1426,"can't wait for"
"a variety of",1426,"a variety of"
"i got a",1424,"i got a"
"i thought i",1423,"i thought i"
"and i don't",1421,"and i don't"
"thanks so much",1420,"thanks so much"
"is that the",1417,"is that the"
"a pair of",1417,"a pair of"
"to find out",1415,"to find out"
"in the future",1411,"in the future"
"going to the",1411,"going to the"
"come up with",1410,"come up with"
"i thought it",1406,"i thought it"
"by the way",1402,"by the way"
"in the next",1401,"in the next"
"over the years",1397,"over the years"
"much of the",1396,"much of the"
"i'd like to",1396,"i'd like to"
"want to go",1396,"want to go"
"but i have",1394,"but i have"
"there are a",1389,"there are a"
"the same thing",1388,"the same thing"
"up with a",1388,"up with a"
"a few years",1385,"a few years"
"get out of",1378,"get out of"
"is on the",1377,"is on the"
"for all the",1376,"for all the"
"out in the",1375,"out in the"
"was the first",1374,"was the first"
"the only thing",1372,"the only thing"
"out of my",1372,"out of my"
"and i will",1370,"and i will"
"check out the",1369,"check out the"
"to work with",1368,"to work with"
"have been a",1368,"have been a"
"is not the",1364,"is not the"
"be a good",1362,"be a good"
"it can be",1360,"it can be"
"the way to",1358,"the way to"
"in the country",1358,"in the country"
"a member of",1357,"a member of"
"i was going",1350,"i was going"
"if you can",1346,"if you can"
"president of the",1346,"president of the"
"on the road",1340,"on the road"
"didn't want to",1338,"didn't want to"
"that they are",1336,"that they are"
"a few weeks",1334,"a few weeks"
"in the house",1332,"in the house"
"front of the",1331,"front of the"
"but i am",1329,"but i am"
"no matter what",1327,"no matter what"
"is the only",1324,"is the only"
"for more than",1323,"for more than"
"am going to",1323,"am going to"
"thank you so",1322,"thank you so"
"used to be",1315,"used to be"
"thought it was",1312,"thought it was"
"that is the",1312,"that is the"
"no matter how",1309,"no matter how"
"in a statement",1309,"in a statement"
"that there is",1305,"that there is"
"going to do",1296,"going to do"
"to do the",1296,"to do the"
"this is what",1291,"this is what"
"up on the",1290,"up on the"
"that i had",1290,"that i had"
"said it was",1289,"said it was"
"would have to",1289,"would have to"
"the people who",1287,"the people who"
"by the end",1286,"by the end"
"to do so",1285,"to do so"
"will not be",1280,"will not be"
"just want to",1278,"just want to"
"a piece of",1272,"a piece of"
"that was a",1272,"that was a"
"a lot more",1269,"a lot more"
"he said the",1269,"he said the"
"of the game",1268,"of the game"
"new york city",1267,"new york city"
"to keep the",1267,"to keep the"
"to do that",1265,"to do that"
"to all the",1264,"to all the"
"a great time",1262,"a great time"
"to do a",1258,"to do a"
"take care of",1257,"take care of"
"the time to",1256,"the time to"
"is the first",1256,"is the first"
"and a half",1256,"and a half"
"it's hard to",1255,"it's hard to"
"i miss you",1254,"i miss you"
"the ability to",1250,"the ability to"
"that i can",1246,"that i can"
"to get out",1246,"to get out"
"any of the",1245,"any of the"
"have to say",1243,"have to say"
"been able to",1242,"been able to"
"you are a",1241,"you are a"
"i would be",1240,"i would be"
"at the moment",1239,"at the moment"
"such as the",1238,"such as the"
"the next day",1235,"the next day"
"and this is",1234,"and this is"
"at least one",1233,"at least one"
"and if you",1231,"and if you"
"have to go",1230,"have to go"
"around the world",1229,"around the world"
"more and more",1227,"more and more"
"you will be",1224,"you will be"
"that you can",1224,"that you can"
"i don't like",1224,"i don't like"
"to take the",1223,"to take the"
"based on the",1219,"based on the"
"i did not",1219,"i did not"
"have a lot",1215,"have a lot"
"you know that",1212,"you know that"
"in a few",1207,"in a few"
"up with the",1206,"up with the"
"to see how",1205,"to see how"
"have no idea",1203,"have no idea"
"do you know",1201,"do you know"
"you can do",1200,"you can do"
"i was just",1197,"i was just"
"for those who",1196,"for those who"
"to have the",1194,"to have the"
"to create a",1194,"to create a"
"for the rest",1194,"for the rest"
"to be an",1191,"to be an"
"to pay for",1190,"to pay for"
"the use of",1190,"the use of"
"middle of the",1189,"middle of the"
"i just want",1186,"i just want"
"be on the",1180,"be on the"
"a matter of",1177,"a matter of"
"is the most",1176,"is the most"
"it was just",1176,"it was just"
"it's been a",1173,"it's been a"
"out to be",1170,"out to be"
"i didn't know",1169,"i didn't know"
"in the state",1169,"in the state"
"may not be",1168,"may not be"
"of the week",1163,"of the week"
"to be on",1161,"to be on"
"i would love",1161,"i would love"
"you're going to",1161,"you're going to"
"you can get",1160,"you can get"
"the last time",1159,"the last time"
"it's time to",1156,"it's time to"
"some of my",1156,"some of my"
"being able to",1156,"being able to"
"all of us",1156,"all of us"
"for you to",1152,"for you to"
"for the last",1150,"for the last"
"lot of people",1148,"lot of people"
"at the top",1145,"at the top"
"had to be",1145,"had to be"
"to see a",1143,"to see a"
"the amount of",1141,"the amount of"
"a year ago",1141,"a year ago"
"due to the",1140,"due to the"
"to have to",1140,"to have to"
"on the floor",1140,"on the floor"
"the other hand",1139,"the other hand"
"bit of a",1138,"bit of a"
"it should be",1136,"it should be"
"don't have a",1135,"don't have a"
"are in the",1135,"are in the"
"can be a",1134,"can be a"
"i think we",1131,"i think we"
"in the back",1128,"in the back"
"as it is",1127,"as it is"
"out of a",1127,"out of a"
"to get back",1127,"to get back"
"there are no",1126,"there are no"
"that this is",1126,"that this is"
"in the area",1126,"in the area"
"the most important",1125,"the most important"
"but if you",1125,"but if you"
"the start of",1121,"the start of"
"that we are",1119,"that we are"
"to do this",1118,"to do this"
"for a long",1117,"for a long"
"seem to be",1116,"seem to be"
"would be the",1116,"would be the"
"with all the",1116,"with all the"
"please follow me",1114,"please follow me"
"the same way",1113,"the same way"
"what it is",1112,"what it is"
"want to get",1112,"want to get"
"the best of",1109,"the best of"
"half of the",1108,"half of the"
"the story of",1107,"the story of"
"they want to",1105,"they want to"
"in my head",1104,"in my head"
"the white house",1103,"the white house"
"well as the",1102,"well as the"
"over the last",1100,"over the last"
"to work on",1099,"to work on"
"the other side",1098,"the other side"
"more than million",1096,"more than million"
"that we have",1095,"that we have"
"the cost of",1093,"the cost of"
"a sense of",1093,"a sense of"
"down to the",1092,"down to the"
"he is a",1091,"he is a"
"for all of",1086,"for all of"
"to use the",1085,"to use the"
"i can do",1085,"i can do"
"don't know how",1084,"don't know how"
"to get my",1084,"to get my"
"did you know",1084,"did you know"
"let us know",1084,"let us know"
"in a row",1083,"in a row"
"one of our",1083,"one of our"
"to do something",1081,"to do something"
"of the house",1081,"of the house"
"in the early",1081,"in the early"
"a good thing",1080,"a good thing"
"in the face",1076,"in the face"
"that is a",1075,"that is a"
"over the next",1072,"over the next"
"every time i",1071,"every time i"
"i get to",1071,"i get to"
"for a new",1071,"for a new"
"the size of",1069,"the size of"
"thank you to",1068,"thank you to"
"just a few",1065,"just a few"
"is a very",1063,"is a very"
"i love my",1060,"i love my"
"the right to",1059,"the right to"
"what kind of",1058,"what kind of"
"on my way",1058,"on my way"
"for the past",1056,"for the past"
"this is my",1056,"this is my"
"of the people",1054,"of the people"
"the time i",1054,"the time i"
"get back to",1054,"get back to"
"don't know if",1053,"don't know if"
"a few of",1052,"a few of"
"it looks like",1051,"it looks like"
"more of a",1051,"more of a"
"in a way",1050,"in a way"
"it was so",1050,"it was so"
"the other day",1049,"the other day"
"to go back",1044,"to go back"
"was a good",1043,"was a good"
"this was a",1041,"this was a"
"people in the",1041,"people in the"
"in the way",1041,"in the way"
"i like the",1041,"i like the"
"and i had",1038,"and i had"
"that was the",1036,"that was the"
"to get it",1034,"to get it"
"just have to",1034,"just have to"
"could have been",1033,"could have been"
"i got to",1032,"i got to"
"the block of",1032,"the block of"
"a few minutes",1030,"a few minutes"
"and i love",1029,"and i love"
"first time in",1028,"first time in"
"i have the",1025,"i have the"
"the city of",1024,"the city of"
"to all of",1023,"to all of"
"a good day",1023,"a good day"
"to do is",1022,"to do is"
"bottom of the",1019,"bottom of the"
"that will be",1018,"that will be"
"was a little",1018,"was a little"
"i was so",1018,"i was so"
"and all the",1017,"and all the"
"they are not",1015,"they are not"
"that there are",1014,"that there are"
"the time of",1011,"the time of"
"the power of",1010,"the power of"
"and that is",1009,"and that is"
"and then i",1009,"and then i"
"if i had",1008,"if i had"
"in the air",1008,"in the air"
"a list of",1006,"a list of"
"what is the",1006,"what is the"
"to tell you",1005,"to tell you"
"that you are",1004,"that you are"
"it could be",1002,"it could be"
"there are some",1001,"there are some"
"will be in",1001,"will be in"
"i love that",1001,"i love that"
"make sure you",1000,"make sure you"
"to see it",1000,"to see it"
"to pick up",998,"to pick up"
"to think about",998,"to think about"
"want to know",997,"want to know"
"was a great",997,"was a great"
"in the new",996,"in the new"
"or at least",994,"or at least"
"i can get",993,"i can get"
"out to the",992,"out to the"
"for some reason",991,"for some reason"
"time to get",990,"time to get"
"in the process",990,"in the process"
"is such a",990,"is such a"
"i wonder if",990,"i wonder if"
"get to the",989,"get to the"
"a great weekend",986,"a great weekend"
"of course i",986,"of course i"
"to listen to",986,"to listen to"
"to check out",984,"to check out"
"i had the",983,"i had the"
"out on the",983,"out on the"
"all of you",980,"all of you"
"that can be",979,"that can be"
"don't forget to",977,"don't forget to"
"that he is",977,"that he is"
"will continue to",977,"will continue to"
"they have a",975,"they have a"
"so you can",974,"so you can"
"at some point",974,"at some point"
"at the university",973,"at the university"
"a picture of",972,"a picture of"
"day of the",972,"day of the"
"there are many",971,"there are many"
"and they are",971,"and they are"
"a look at",968,"a look at"
"was on the",967,"was on the"
"i can see",966,"i can see"
"as you can",966,"as you can"
"the lack of",966,"the lack of"
"the chance to",965,"the chance to"
"in one of",963,"in one of"
"in this case",962,"in this case"
"feel free to",961,"feel free to"
"over and over",960,"over and over"
"along with the",959,"along with the"
"of the same",958,"of the same"
"parts of the",956,"parts of the"
"the state of",956,"the state of"
"but i was",955,"but i was"
"it was not",953,"it was not"
"that he had",953,"that he had"
"of the other",952,"of the other"
"and you can",950,"and you can"
"a result of",948,"a result of"
"one of his",948,"one of his"
"as one of",947,"as one of"
"the only way",947,"the only way"
"i tried to",946,"i tried to"
"the way i",946,"the way i"
"the age of",945,"the age of"
"have to get",945,"have to get"
"up for the",944,"up for the"
"need to do",943,"need to do"
"the last few",941,"the last few"
"for more information",941,"for more information"
"are you going",941,"are you going"
"hope to see",941,"hope to see"
"but in the",940,"but in the"
"along the way",939,"along the way"
"all of them",939,"all of them"
"that i would",937,"that i would"
"he had a",936,"he had a"
"a bit more",934,"a bit more"
"in the third",934,"in the third"
"in recent years",934,"in recent years"
"i try to",933,"i try to"
"i can't believe",932,"i can't believe"
"a good time",932,"a good time"
"me in the",932,"me in the"
"in the game",930,"in the game"
"it was an",930,"it was an"
"and i know",927,"and i know"
"of the night",927,"of the night"
"in the case",927,"in the case"
"and the other",926,"and the other"
"to the next",925,"to the next"
"to find the",922,"to find the"
"be one of",922,"be one of"
"i guess i",922,"i guess i"
"to win the",921,"to win the"
"is trying to",921,"is trying to"
"looks like a",921,"looks like a"
"it as a",920,"it as a"
"of the state",919,"of the state"
"sounds like a",919,"sounds like a"
"will be able",917,"will be able"
"to me and",917,"to me and"
"me and i",917,"me and i"
"not to be",917,"not to be"
"so much fun",916,"so much fun"
"it to be",914,"it to be"
"and have a",914,"and have a"
"in a while",914,"in a while"
"all of my",913,"all of my"
"i get a",912,"i get a"
"the heart of",911,"the heart of"
"i didn't have",911,"i didn't have"
"it on the",910,"it on the"
"nothing to do",909,"nothing to do"
"in the car",908,"in the car"
"on how to",906,"on how to"
"when you are",906,"when you are"
"the st louis",906,"the st louis"
"the history of",905,"the history of"
"on the back",904,"on the back"
"you and your",903,"you and your"
"he has a",902,"he has a"
"which is a",901,"which is a"
"one of these",900,"one of these"
"i could have",899,"i could have"
"on the ground",899,"on the ground"
"the death of",897,"the death of"
"to watch the",897,"to watch the"
"that i could",895,"that i could"
"in other words",895,"in other words"
"we had to",893,"we had to"
"to meet you",892,"to meet you"
"all of this",891,"all of this"
"when i get",889,"when i get"
"the past few",888,"the past few"
"i'm trying to",887,"i'm trying to"
"on the same",887,"on the same"
"the majority of",886,"the majority of"
"to come to",886,"to come to"
"you going to",885,"you going to"
"we have been",884,"we have been"
"how much i",883,"how much i"
"a handful of",882,"a handful of"
"to the point",882,"to the point"
"people who are",882,"people who are"
"two of the",882,"two of the"
"a fan of",882,"a fan of"
"at least a",881,"at least a"
"for the most",881,"for the most"
"be a great",880,"be a great"
"could be a",879,"could be a"
"them in the",878,"them in the"
"it is to",878,"it is to"
"will have a",877,"will have a"
"a few more",876,"a few more"
"you are not",876,"you are not"
"they need to",876,"they need to"
"the process of",875,"the process of"
"not to mention",875,"not to mention"
"across the country",874,"across the country"
"much as i",873,"much as i"
"of the city",872,"of the city"
"it would have",872,"it would have"
"he said i",872,"he said i"
"feel like i",871,"feel like i"
"when you have",871,"when you have"
"on to the",869,"on to the"
"was trying to",868,"was trying to"
"do you want",868,"do you want"
"if i can",867,"if i can"
"for the day",867,"for the day"
"the next few",867,"the next few"
"just wanted to",867,"just wanted to"
"if it is",865,"if it is"
"of the way",865,"of the way"
"the importance of",865,"the importance of"
"do not have",864,"do not have"
"and will be",863,"and will be"
"of the book",863,"of the book"
"that has been",863,"that has been"
"you don't know",862,"you don't know"
"know what to",862,"know what to"
"a lot to",862,"a lot to"
"that i don't",862,"that i don't"
"some kind of",860,"some kind of"
"the second half",860,"the second half"
"if i could",859,"if i could"
"able to get",859,"able to get"
"it may be",859,"it may be"
"i don't even",859,"i don't even"
"ready for the",859,"ready for the"
"he wanted to",859,"he wanted to"
"the side of",858,"the side of"
"and one of",857,"and one of"
"that you have",854,"that you have"
"known as the",854,"known as the"
"really want to",854,"really want to"
"is part of",854,"is part of"
"for me i",853,"for me i"
"the last two",853,"the last two"
"that is not",853,"that is not"
"and there are",852,"and there are"
"version of the",852,"version of the"
"a few months",852,"a few months"
"to get in",852,"to get in"
"i'd love to",852,"i'd love to"
"little bit of",851,"little bit of"
"for the new",851,"for the new"
"to know that",851,"to know that"
"to the public",851,"to the public"
"to be more",851,"to be more"
"want to make",850,"want to make"
"if there is",850,"if there is"
"is to be",850,"is to be"
"and i are",850,"and i are"
"time in the",849,"time in the"
"in the final",849,"in the final"
"forward to the",848,"forward to the"
"to go out",847,"to go out"
"you don't want",847,"you don't want"
"s o to",847,"s o to"
"going to make",846,"going to make"
"happy new year",846,"happy new year"
"a good idea",845,"a good idea"
"the center of",844,"the center of"
"to become a",844,"to become a"
"and he was",844,"and he was"
"i was able",843,"i was able"
"way to the",843,"way to the"
"up in a",842,"up in a"
"and that the",842,"and that the"
"were able to",842,"were able to"
"that kind of",842,"that kind of"
"the department of",841,"the department of"
"me and my",840,"me and my"
"who wants to",840,"who wants to"
"if you do",839,"if you do"
"should be a",838,"should be a"
"but this is",837,"but this is"
"so we can",837,"so we can"
"the first half",837,"the first half"
"he wants to",836,"he wants to"
"i have never",836,"i have never"
"i had no",835,"i had no"
"a.m to p.m",835,"a.m to p.m"
"some sort of",834,"some sort of"
"i am in",834,"i am in"
"in new jersey",834,"in new jersey"
"if i was",833,"if i was"
"in st louis",833,"in st louis"
"this is an",832,"this is an"
"i think you",831,"i think you"
"if you need",831,"if you need"
"shout out to",831,"shout out to"
"it might be",830,"it might be"
"but there are",830,"but there are"
"to focus on",830,"to focus on"
"i don't care",829,"i don't care"
"at one point",828,"at one point"
"the first place",828,"the first place"
"were going to",828,"were going to"
"a time when",827,"a time when"
"come to the",826,"come to the"
"the point of",826,"the point of"
"wait for the",825,"wait for the"
"and for the",825,"and for the"
"to try and",825,"to try and"
"i just got",825,"i just got"
"back of the",824,"back of the"
"happy birthday to",824,"happy birthday to"
"the world and",823,"the world and"
"i'm not going",822,"i'm not going"
"of course the",821,"of course the"
"this was the",821,"this was the"
"he has been",820,"he has been"
"he did not",820,"he did not"
"get rid of",820,"get rid of"
"you in the",820,"you in the"
"was supposed to",819,"was supposed to"
"and there is",819,"and there is"
"in high school",819,"in high school"
"back on the",818,"back on the"
"way to go",817,"way to go"
"the best way",817,"the best way"
"we are not",816,"we are not"
"wanted to be",816,"wanted to be"
"to get some",816,"to get some"
"the face of",816,"the face of"
"because it was",815,"because it was"
"as i was",815,"as i was"
"i know it",815,"i know it"
"and we are",813,"and we are"
"had no idea",813,"had no idea"
"would not be",813,"would not be"
"going to go",812,"going to go"
"you have the",809,"you have the"
"is a little",809,"is a little"
"ready to go",809,"ready to go"
"place in the",809,"place in the"
"is also a",808,"is also a"
"even though i",808,"even though i"
"the need to",808,"the need to"
"may have been",807,"may have been"
"for me and",807,"for me and"
"we don't have",806,"we don't have"
"and i just",805,"and i just"
"whether or not",805,"whether or not"
"i know you",805,"i know you"
"an opportunity to",805,"an opportunity to"
"i'm not a",805,"i'm not a"
"the federal government",804,"the federal government"
"they have to",804,"they have to"
"you can find",803,"you can find"
"and i can",803,"and i can"
"two years ago",803,"two years ago"
"those of you",802,"those of you"
"each of the",802,"each of the"
"but i do",802,"but i do"
"the course of",801,"the course of"
"in the day",801,"in the day"
"what i was",799,"what i was"
"think about it",799,"think about it"
"and his wife",798,"and his wife"
"if it was",798,"if it was"
"it's not a",798,"it's not a"
"because it is",797,"because it is"
"for us to",794,"for us to"
"in your life",793,"in your life"
"are trying to",793,"are trying to"
"to be done",791,"to be done"
"in los angeles",791,"in los angeles"
"i love this",789,"i love this"
"there have been",788,"there have been"
"but there is",788,"but there is"
"i didn't want",787,"i didn't want"
"will be on",786,"will be on"
"i'm pretty sure",786,"i'm pretty sure"
"in the meantime",786,"in the meantime"
"a ton of",785,"a ton of"
"while i was",783,"while i was"
"to have been",783,"to have been"
"of the things",783,"of the things"
"my way to",781,"my way to"
"the same as",780,"the same as"
"it makes me",779,"it makes me"
"here is a",779,"here is a"
"not want to",779,"not want to"
"who has been",779,"who has been"
"the world is",779,"the world is"
"out of it",779,"out of it"
"here are some",779,"here are some"
"all of our",779,"all of our"
"of one of",778,"of one of"
"they will be",778,"they will be"
"a few hours",778,"a few hours"
"the one who",777,"the one who"
"because they are",777,"because they are"
"appears to be",776,"appears to be"
"know what i",776,"know what i"
"to one of",774,"to one of"
"like to see",774,"like to see"
"president barack obama",774,"president barack obama"
"you have any",773,"you have any"
"is just a",772,"is just a"
"early in the",771,"early in the"
"we have the",771,"we have the"
"i still have",771,"i still have"
"reminds me of",770,"reminds me of"
"that they were",770,"that they were"
"he was the",770,"he was the"
"couple of weeks",769,"couple of weeks"
"i think i'm",769,"i think i'm"
"wish i had",768,"wish i had"
"are a few",768,"are a few"
